actual,predicted,error,brand,model,age
5999,23490.0,-17491.18725468917,ford,Ford Fusion,15
32900,25780.0,7120.0863447867305,volkswagen,Volkswagen Sharan,7
12199,24038.0,-11839.338802293474,opel,Opel Combo,6
66270,25574.0,40696.49073789037,volkswagen,Volkswagen T6.1 California,1
16990,23589.0,-6598.633297098775,volkswagen,Volkswagen T5 Kombi,11
14999,22945.0,-7945.714314651541,volkswagen,Volkswagen T4 Multivan,22
8990,23807.0,-14817.031359029188,skoda,Skoda Rapid/Spaceback,9
10990,24003.0,-13012.90044668104,hyundai,Hyundai i20,7
6400,23999.0,-17598.953261709652,volkswagen,Volkswagen Golf Plus,16
15760,24414.0,-8653.959598759193,ford,Ford Kuga,8
18990,24978.0,-5987.883957314527,bmw,BMW 120,8
24499,24858.0,-358.5605073767438,fiat,Fiat Fullback,6
128870,32424.0,96445.84985834721,dodge,Dodge Challenger,2
35988,25447.0,10541.361406137235,volkswagen,Volkswagen Touran,2
21280,24753.0,-3473.176167963713,audi,Audi TT,10
25999,25106.0,892.7907174434877,volkswagen,Volkswagen Taigo,2
19850,25061.0,-5210.780099489279,ford,Ford S-Max,9
32000,25671.0,6328.777762717473,mercedes-benz,Mercedes-Benz E 350,8
12450,24208.0,-11758.132793007211,jeep,Jeep Renegade,9
2350,22947.0,-20596.892923960153,volkswagen,Volkswagen Polo,18
18640,24717.0,-6077.42612818865,hyundai,Hyundai i30,5
8700,23896.0,-15196.297091808436,ford,Ford Mondeo,11
15990,24549.0,-8558.799343215916,volkswagen,Volkswagen Golf,10
4300,23304.0,-19004.242751207676,mercedes-benz,Mercedes-Benz C 200,21
29200,24840.0,4359.53455537124,volkswagen,Volkswagen T5 Multivan,11
22500,25797.0,-3297.240905431496,skoda,Skoda Octavia,6
14500,25372.0,-10872.187554603162,alfa-romeo,Alfa Romeo MiTo,15
23890,25204.0,-1313.500945553198,jeep,Jeep Renegade,2
15490,24034.0,-8544.296118156268,volkswagen,Volkswagen CC,10
3990,23353.0,-19363.34892239377,ford,Ford Focus,17
19490,24908.0,-5417.503381297323,hyundai,Hyundai i20,1
9990,24249.0,-14259.130194761816,honda,Honda Civic,12
29500,25223.0,4276.898185552927,volkswagen,Volkswagen Caddy,3
5999,24288.0,-18289.1035449686,kia,Kia Venga,11
11990,24205.0,-12215.438001041337,volkswagen,Volkswagen Golf,10
26790,25116.0,1674.437860143109,seat,SEAT Leon,3
52490,26540.0,25950.165654111646,mercedes-benz,Mercedes-Benz GLC 300,4
18990,24434.0,-5443.997274215293,volkswagen,Volkswagen Golf,6
13990,24425.0,-10434.590766038815,toyota,Toyota Yaris,7
34300,25962.0,8338.302529942972,mazda,Mazda CX-5,1
45900,25808.0,20091.77388806333,land-rover,Land Rover Discovery,5
12490,23774.0,-11283.696177822221,renault,Renault Kangoo,6
79900,28348.0,51552.08028142624,mercedes-benz,Mercedes-Benz S 560,6
31979,24787.0,7192.344099578866,volkswagen,Volkswagen Caddy,3
27890,24974.0,2915.6374206875444,volkswagen,Volkswagen Tiguan,6
19990,24653.0,-4662.806954603657,seat,SEAT Arona,4
34670,25726.0,8943.529311006627,volkswagen,Volkswagen Golf,1
9900,23902.0,-14001.739532334519,skoda,Skoda Yeti,14
13980,24285.0,-10305.099625589428,skoda,Skoda Fabia,6
8950,23722.0,-14771.77828958338,ford,Ford Fiesta,8
49850,26375.0,23475.27891902534,land-rover,Land Rover Range Rover Velar,5
3650,23317.0,-19667.00465123587,renault,Renault Twingo,15
30462,25137.0,5325.2729283072,peugeot,Peugeot 508,2
23889,24778.0,-889.3371366106912,opel,Opel Insignia,4
30930,24962.0,5967.700416617674,volkswagen,Volkswagen Tiguan,6
27500,25350.0,2150.161204558797,opel,Opel Mokka,3
14299,24775.0,-10476.313456818585,opel,Opel Adam,8
26480,25185.0,1295.2768355134722,skoda,Skoda Scala,1
27840,25120.0,2719.6155603437437,volkswagen,Volkswagen Tiguan,7
21600,24761.0,-3161.422202432761,ford,Ford Focus,4
16700,24386.0,-7685.724161934111,mercedes-benz,Mercedes-Benz C 200,8
33888,24044.0,9843.681234744607,mercedes-benz,Mercedes-Benz Vito,6
20490,24691.0,-4200.519955932952,skoda,Skoda Superb,7
7000,22498.0,-15497.52188300401,volkswagen,Volkswagen Golf Cabriolet,27
21960,24871.0,-2910.523405335549,mini,MINI Cooper Clubman,5
19490,25426.0,-5935.672732282295,hyundai,Hyundai KONA,5
17500,24684.0,-7183.694083263628,bmw,BMW 420,8
20990,24772.0,-3781.5768110921163,fiat,Fiat Tipo,3
3200,22948.0,-19748.001066715093,ford,Ford Focus,20
21900,24887.0,-2986.810046143084,audi,Audi A5,7
71990,28277.0,43713.45165665327,dodge,Dodge RAM,2
27900,25495.0,2404.9883718238634,jeep,Jeep Grand Cherokee,6
24990,24604.0,385.71421392563207,ford,Ford Kuga,6
51810,27307.0,24502.799352092276,mercedes-benz,Mercedes-Benz CLA 35 AMG,2
18790,24672.0,-5881.944697504237,fiat,Fiat 500,1
15900,24916.0,-9016.42119751167,bmw,BMW 530,14
25900,24916.0,984.3066543630302,mercedes-benz,Mercedes-Benz C 220,8
3480,23477.0,-19997.25201735117,mercedes-benz,Mercedes-Benz B 170,18
5500,23560.0,-18060.41023186029,bmw,BMW 116,17
10500,24122.0,-13622.289703306207,audi,Audi A5,14
22330,24601.0,-2270.502323912857,volkswagen,Volkswagen Caddy,6
13400,24439.0,-11039.250679299726,mercedes-benz,Mercedes-Benz CLA 200,11
26973,24793.0,2179.720338769999,seat,SEAT Ibiza,4
13900,24428.0,-10528.209577065365,opel,Opel Corsa,4
23440,24624.0,-1184.3802214580974,skoda,Skoda Kamiq,1
8590,23795.0,-15205.274216535945,fiat,Fiat 500,8
21990,24690.0,-2700.3840328475926,skoda,Skoda Fabia,1
25990,24617.0,1372.7942443040592,peugeot,Peugeot Rifter,5
34988,26218.0,8770.299626441349,seat,SEAT Leon,1
51188,25143.0,26045.223298141434,ford,Ford Transit,3
8999,22941.0,-13941.914416947398,volkswagen,Volkswagen T4 Kombi,25
2990,24108.0,-21118.456758610362,bmw,BMW 525,17
122998,29228.0,93770.01061105481,mercedes-benz,Mercedes-Benz GLE 580,1
63250,25623.0,37626.588970858946,mercedes-benz,Mercedes-Benz G 350,9
22400,24516.0,-2115.5851902234463,opel,Opel Combo,3
66950,26290.0,40659.72903855353,audi,Audi A6,1
3000,23163.0,-20163.07956142853,opel,Opel Corsa,17
16995,23830.0,-6834.994867905825,volkswagen,Volkswagen Caddy,9
22999,25151.0,-2152.481956503805,renault,Renault Talisman,4
11999,24240.0,-12240.541710126148,skoda,Skoda Fabia,7
27150,25625.0,1525.1975824793917,kia,Kia XCeed,1
9199,23908.0,-14709.113473256737,ford,Ford B-Max,11
10670,23856.0,-13186.333675488266,mini,MINI One D,7
339000,31370.0,307630.0445661712,ferrari,Ferrari F8 Tributo,3
6500,23538.0,-17038.277968624447,volkswagen,Volkswagen Cross Touran,17
6599,23855.0,-17256.00735660525,ford,Ford Focus,10
28980,24093.0,4887.460353926839,seat,SEAT Ateca,3
18990,25203.0,-6212.531579621256,mercedes-benz,Mercedes-Benz B 220,9
24789,25150.0,-361.48902919643297,volkswagen,Volkswagen Taigo,2
17480,24582.0,-7102.126701742378,hyundai,Hyundai TUCSON,6
12990,24555.0,-11564.698588096107,opel,Opel Corsa,5
10900,24116.0,-13216.082983813503,bmw,BMW 118,15
14990,24319.0,-9329.465334052624,smart,smart forTwo,6
35499,25691.0,9807.685429232955,seat,SEAT Tarraco,5
25890,26129.0,-238.82123701827368,skoda,Skoda Superb,8
12799,23876.0,-11076.84753586943,volkswagen,Volkswagen Golf Sportsvan,9
18988,24695.0,-5707.197147121886,renault,Renault Talisman,6
8999,23938.0,-14938.74436286253,opel,Opel Astra,13
7950,23946.0,-15995.864470148616,seat,SEAT Ibiza,10
33990,25155.0,8834.754862690283,mercedes-benz,Mercedes-Benz E 220,7
8700,23002.0,-14302.087587624199,volkswagen,Volkswagen T4 Multivan,25
10900,24082.0,-13181.61284228471,hyundai,Hyundai i20,7
21750,24422.0,-2671.9144603468994,skoda,Skoda Karoq,6
14790,23876.0,-9085.530147062094,volkswagen,Volkswagen Caddy,10
9900,24700.0,-14800.30964185813,audi,Audi A5,15
2200,22551.0,-20350.505863527647,volkswagen,Volkswagen Lupo,22
12500,24062.0,-11561.945454595185,seat,SEAT Ibiza,4
14990,24494.0,-9503.555489087532,audi,Audi A4,9
13200,25482.0,-12281.899843251413,bmw,BMW 328,12
8750,24404.0,-15653.603614988308,audi,Audi A6,14
29890,25324.0,4566.319887222911,volvo,Volvo XC60,6
8990,23846.0,-14855.619884985907,ford,Ford Fiesta,8
20900,25515.0,-4614.610630619351,mercedes-benz,Mercedes-Benz E 350,12
66900,27881.0,39018.57787921788,porsche,Porsche Cayenne,6
38800,27194.0,11606.458122564705,audi,Audi SQ7,7
11790,24032.0,-12242.032919528927,smart,smart forTwo,9
2490,23591.0,-21100.563105729885,opel,Opel Astra,20
25999,25023.0,975.5784587627713,mercedes-benz,Mercedes-Benz C 220,8
45990,26246.0,19744.443397211802,ssangyong,SsangYong REXTON,1
17700,25373.0,-7672.865341242414,bmw,BMW X1,9
21990,25066.0,-3075.608628038255,bmw,BMW 320,8
23749,25330.0,-1580.5883409406706,audi,Audi A4,7
17900,24601.0,-6701.273766361694,ford,Ford Galaxy,7
22390,24975.0,-2584.740089683415,fiat,Fiat Tipo,2
20840,24296.0,-3455.695645326199,toyota,Toyota Proace,3
