actual,predicted,error,brand,model,age
5999,2765.0,3233.8612195997484,ford,Ford Fusion,15
32900,36190.0,-3290.1499559324293,volkswagen,Volkswagen Sharan,7
12199,15770.0,-3571.1069250025357,opel,Opel Combo,6
66270,53843.0,12427.204796777223,volkswagen,Volkswagen T6.1 California,1
16990,7672.0,9317.726207509653,volkswagen,Volkswagen T5 Kombi,11
14999,-796.0,15795.233578077095,volkswagen,Volkswagen T4 Multivan,22
8990,7532.0,1458.3766356574633,skoda,Skoda Rapid/Spaceback,9
10990,7912.0,3077.5486100490853,hyundai,Hyundai i20,7
6400,9409.0,-3009.2702010350695,volkswagen,Volkswagen Golf Plus,16
15760,15185.0,575.4345634335623,ford,Ford Kuga,8
18990,23841.0,-4851.456585099739,bmw,BMW 120,8
24499,21726.0,2772.893532705333,fiat,Fiat Fullback,6
128870,140198.0,-11327.58729605042,dodge,Dodge Challenger,2
35988,32795.0,3193.1507969160593,volkswagen,Volkswagen Touran,2
21280,19392.0,1887.80982375452,audi,Audi TT,10
25999,27329.0,-1330.1561422517116,volkswagen,Volkswagen Taigo,2
19850,25504.0,-5654.327134521147,ford,Ford S-Max,9
32000,31448.0,551.9944257477473,mercedes-benz,Mercedes-Benz E 350,8
12450,10584.0,1866.0093440164492,jeep,Jeep Renegade,9
2350,-1498.0,3848.4861439359847,volkswagen,Volkswagen Polo,18
18640,19125.0,-485.267382539605,hyundai,Hyundai i30,5
8700,6253.0,2447.1756909603864,ford,Ford Mondeo,11
15990,20904.0,-4913.751113533966,volkswagen,Volkswagen Golf,10
4300,3494.0,806.0534769864971,mercedes-benz,Mercedes-Benz C 200,21
29200,23755.0,5445.044628016407,volkswagen,Volkswagen T5 Multivan,11
22500,33158.0,-10658.462255093953,skoda,Skoda Octavia,6
14500,29475.0,-14974.584043224124,alfa-romeo,Alfa Romeo MiTo,15
23890,29086.0,-5196.453294087478,jeep,Jeep Renegade,2
15490,16163.0,-672.9703807736169,volkswagen,Volkswagen CC,10
3990,-3919.0,7908.914362972337,ford,Ford Focus,17
19490,23477.0,-3986.6482381885908,hyundai,Hyundai i20,1
9990,11913.0,-1922.7892700915472,honda,Honda Civic,12
29500,28563.0,936.8919813060129,volkswagen,Volkswagen Caddy,3
5999,7256.0,-1257.0173081353532,kia,Kia Venga,11
11990,18942.0,-6951.9260569239195,volkswagen,Volkswagen Golf,10
26790,25351.0,1438.9392968095235,seat,SEAT Leon,3
52490,45413.0,7077.048957369698,mercedes-benz,Mercedes-Benz GLC 300,4
18990,18627.0,362.7168880488316,volkswagen,Volkswagen Golf,6
13990,16211.0,-2221.497145089739,toyota,Toyota Yaris,7
34300,36831.0,-2530.714230753525,mazda,Mazda CX-5,1
45900,49502.0,-3601.982859351476,land-rover,Land Rover Discovery,5
12490,11401.0,1088.8323747345585,renault,Renault Kangoo,6
79900,77240.0,2659.888798976579,mercedes-benz,Mercedes-Benz S 560,6
31979,30740.0,1239.0213692138968,volkswagen,Volkswagen Caddy,3
27890,28380.0,-489.64513148038895,volkswagen,Volkswagen Tiguan,6
19990,21043.0,-1053.103597582758,seat,SEAT Arona,4
34670,37298.0,-2628.2667531889747,volkswagen,Volkswagen Golf,1
9900,8340.0,1559.5965394695377,skoda,Skoda Yeti,14
13980,14672.0,-692.2413000792149,skoda,Skoda Fabia,6
8950,9533.0,-582.6290719851422,ford,Ford Fiesta,8
49850,54578.0,-4728.2312984262535,land-rover,Land Rover Range Rover Velar,5
3650,-3278.0,6927.512975980309,renault,Renault Twingo,15
30462,29531.0,930.5645812575967,peugeot,Peugeot 508,2
23889,21976.0,1912.731847734598,opel,Opel Insignia,4
30930,24060.0,6870.339361366143,volkswagen,Volkswagen Tiguan,6
27500,27888.0,-388.12608466852544,opel,Opel Mokka,3
14299,21621.0,-7322.057644400586,opel,Opel Adam,8
26480,29005.0,-2525.408316223795,skoda,Skoda Scala,1
