actual,predicted,error,brand,model,age
5999,8521.0,-2522.137218974407,ford,Ford Fusion,15
32900,32005.0,894.5964132378431,volkswagen,Volkswagen Sharan,7
12199,16596.0,-4396.70661164034,opel,Opel Combo,6
66270,68583.0,-2313.2911746325844,volkswagen,Volkswagen T6.1 California,1
16990,19265.0,-2275.4852525835304,volkswagen,Volkswagen T5 Kombi,11
14999,14938.0,61.1736790744726,volkswagen,Volkswagen T4 Multivan,22
8990,9967.0,-977.0920362556462,skoda,Skoda Rapid/Spaceback,9
10990,9578.0,1412.1463571301465,hyundai,Hyundai i20,7
6400,3892.0,2508.169041867048,volkswagen,Volkswagen Golf Plus,16
15760,16957.0,-1197.0619604015446,ford,Ford Kuga,8
18990,21879.0,-2889.251254767427,bmw,BMW 120,8
24499,22380.0,2118.7626014585912,fiat,Fiat Fullback,6
128870,127938.0,932.4613291098212,dodge,Dodge Challenger,2
35988,33691.0,2296.5704057042894,volkswagen,Volkswagen Touran,2
21280,22007.0,-727.0383332850251,audi,Audi TT,10
25999,28760.0,-2761.2902318337947,volkswagen,Volkswagen Taigo,2
19850,22682.0,-2832.3717125368275,ford,Ford S-Max,9
32000,23683.0,8317.000391778445,mercedes-benz,Mercedes-Benz E 350,8
12450,6246.0,6204.154004985296,jeep,Jeep Renegade,9
2350,-1239.0,3589.4499376378044,volkswagen,Volkswagen Polo,18
18640,16950.0,1689.5825578099139,hyundai,Hyundai i30,5
8700,7178.0,1521.6283437368566,ford,Ford Mondeo,11
15990,17397.0,-1407.141612079111,volkswagen,Volkswagen Golf,10
4300,2081.0,2218.5262737724443,mercedes-benz,Mercedes-Benz C 200,21
29200,29031.0,169.14659831572862,volkswagen,Volkswagen T5 Multivan,11
22500,26306.0,-3805.6094820584767,skoda,Skoda Octavia,6
14500,13729.0,770.7401948958159,alfa-romeo,Alfa Romeo MiTo,15
23890,27743.0,-3853.0668907948493,jeep,Jeep Renegade,2
15490,12277.0,3213.172960450862,volkswagen,Volkswagen CC,10
3990,-1314.0,5303.896589439293,ford,Ford Focus,17
19490,24458.0,-4968.454109769147,hyundai,Hyundai i20,1
9990,11342.0,-1352.4992498543434,honda,Honda Civic,12
29500,35043.0,-5542.885198076488,volkswagen,Volkswagen Caddy,3
5999,6918.0,-918.8162741199467,kia,Kia Venga,11
11990,13721.0,-1730.708272270458,volkswagen,Volkswagen Golf,10
26790,24188.0,2601.901653424171,seat,SEAT Leon,3
52490,51896.0,594.1524279627483,mercedes-benz,Mercedes-Benz GLC 300,4
18990,19437.0,-446.9692215558607,volkswagen,Volkswagen Golf,6
13990,14370.0,-380.02234185326415,toyota,Toyota Yaris,7
34300,36878.0,-2578.4675418202532,mazda,Mazda CX-5,1
45900,47778.0,-1878.3025134217023,land-rover,Land Rover Discovery,5
12490,13265.0,-775.1291327180261,renault,Renault Kangoo,6
79900,71576.0,8323.628011693,mercedes-benz,Mercedes-Benz S 560,6
31979,30813.0,1166.053419129912,volkswagen,Volkswagen Caddy,3
27890,27098.0,791.9468272746963,volkswagen,Volkswagen Tiguan,6
19990,18673.0,1317.150087125312,seat,SEAT Arona,4
34670,36339.0,-1669.0621591736417,volkswagen,Volkswagen Golf,1
9900,9136.0,764.1835410154563,skoda,Skoda Yeti,14
13980,12102.0,1878.1530609794409,skoda,Skoda Fabia,6
8950,15188.0,-6237.831429401178,ford,Ford Fiesta,8
49850,53308.0,-3458.36364672293,land-rover,Land Rover Range Rover Velar,5
3650,9706.0,-6056.085341193291,renault,Renault Twingo,15
30462,31646.0,-1184.3424756459099,peugeot,Peugeot 508,2
23889,18919.0,4969.867572935251,opel,Opel Insignia,4
30930,25742.0,5188.060701919778,volkswagen,Volkswagen Tiguan,6
27500,27525.0,-24.82270372648054,opel,Opel Mokka,3
14299,13265.0,1033.6456988187256,opel,Opel Adam,8
26480,26849.0,-369.17318066203734,skoda,Skoda Scala,1
27840,25983.0,1856.8211094465805,volkswagen,Volkswagen Tiguan,7
21600,20079.0,1521.3428179086914,ford,Ford Focus,4
16700,20579.0,-3878.678364228428,mercedes-benz,Mercedes-Benz C 200,8
33888,19667.0,14220.87340124663,mercedes-benz,Mercedes-Benz Vito,6
20490,21954.0,-1464.1307576451036,skoda,Skoda Superb,7
7000,-6034.0,13033.562831857143,volkswagen,Volkswagen Golf Cabriolet,27
21960,21531.0,429.0515275733633,mini,MINI Cooper Clubman,5
19490,21342.0,-1852.2824247235985,hyundai,Hyundai KONA,5
17500,22608.0,-5108.385032444825,bmw,BMW 420,8
20990,20068.0,922.1478576032459,fiat,Fiat Tipo,3
3200,-2229.0,5429.310233259817,ford,Ford Focus,20
21900,22691.0,-790.7274943505327,audi,Audi A5,7
71990,76659.0,-4668.567915804175,dodge,Dodge RAM,2
27900,27079.0,821.2709663246169,jeep,Jeep Grand Cherokee,6
24990,19722.0,5267.657073701779,ford,Ford Kuga,6
51810,56155.0,-4344.540448728279,mercedes-benz,Mercedes-Benz CLA 35 AMG,2
18790,22718.0,-3927.7914415806154,fiat,Fiat 500,1
15900,12829.0,3071.3294221740325,bmw,BMW 530,14
25900,24249.0,1650.8186433556002,mercedes-benz,Mercedes-Benz C 220,8
3480,3483.0,-3.070838178988197,mercedes-benz,Mercedes-Benz B 170,18
5500,2496.0,3004.3463914177937,bmw,BMW 116,17
10500,10394.0,105.9530231584431,audi,Audi A5,14
22330,24524.0,-2194.3469624837744,volkswagen,Volkswagen Caddy,6
13400,16484.0,-3084.144915338842,mercedes-benz,Mercedes-Benz CLA 200,11
26973,20247.0,6725.831812041542,seat,SEAT Ibiza,4
13900,16315.0,-2414.709696901149,opel,Opel Corsa,4
23440,22923.0,516.7155750130696,skoda,Skoda Kamiq,1
8590,6465.0,2124.5034124912636,fiat,Fiat 500,8
21990,28962.0,-6971.693871415046,skoda,Skoda Fabia,1
25990,22701.0,3288.806813386851,peugeot,Peugeot Rifter,5
34988,35850.0,-861.9419755693016,seat,SEAT Leon,1
51188,35420.0,15767.515200423746,ford,Ford Transit,3
8999,4382.0,4617.378857044903,volkswagen,Volkswagen T4 Kombi,25
2990,3819.0,-829.3857815641568,bmw,BMW 525,17
122998,101454.0,21544.306417488668,mercedes-benz,Mercedes-Benz GLE 580,1
63250,75932.0,-12681.940566119272,mercedes-benz,Mercedes-Benz G 350,9
22400,21369.0,1030.9593206421087,opel,Opel Combo,3
