actual,predicted,error,brand,model,age
5999,8616.0,-2616.597006962591,ford,Ford Fusion,15
32900,32062.0,837.6157765747157,volkswagen,Volkswagen Sharan,7
12199,16699.0,-4500.107291584536,opel,Opel Combo,6
66270,68514.0,-2244.450775108082,volkswagen,Volkswagen T6.1 California,1
16990,18979.0,-1988.7490748987184,volkswagen,Volkswagen T5 Kombi,11
14999,14832.0,167.4823344992892,volkswagen,Volkswagen T4 Multivan,22
8990,9826.0,-836.0672596602126,skoda,Skoda Rapid/Spaceback,9
10990,9479.0,1511.2752358171165,hyundai,Hyundai i20,7
6400,4060.0,2340.409924755353,volkswagen,Volkswagen Golf Plus,16
15760,16754.0,-993.9187393309985,ford,Ford Kuga,8
18990,21937.0,-2947.123217485834,bmw,BMW 120,8
24499,21768.0,2731.1252851027166,fiat,Fiat Fullback,6
128870,150042.0,-21171.795111988962,dodge,Dodge Challenger,2
35988,33660.0,2327.870380450593,volkswagen,Volkswagen Touran,2
21280,21822.0,-541.6035313870234,audi,Audi TT,10
25999,28721.0,-2721.5302414658036,volkswagen,Volkswagen Taigo,2
19850,23529.0,-3679.4314209937365,ford,Ford S-Max,9
32000,23777.0,8222.613335385791,mercedes-benz,Mercedes-Benz E 350,8
12450,6306.0,6143.877668468769,jeep,Jeep Renegade,9
2350,-1239.0,3588.863744676044,volkswagen,Volkswagen Polo,18
18640,16844.0,1795.8182631407471,hyundai,Hyundai i30,5
8700,7045.0,1654.6746037108314,ford,Ford Mondeo,11
15990,17558.0,-1568.289190463569,volkswagen,Volkswagen Golf,10
4300,2145.0,2154.863183047906,mercedes-benz,Mercedes-Benz C 200,21
29200,29096.0,104.0338335879569,volkswagen,Volkswagen T5 Multivan,11
22500,26361.0,-3860.9011914767725,skoda,Skoda Octavia,6
14500,15377.0,-876.5015065774478,alfa-romeo,Alfa Romeo MiTo,15
23890,27710.0,-3819.9458986379577,jeep,Jeep Renegade,2
15490,12310.0,3180.495918586639,volkswagen,Volkswagen CC,10
3990,-1534.0,5523.703200842556,ford,Ford Focus,17
19490,24417.0,-4926.8630309064465,hyundai,Hyundai i20,1
9990,11163.0,-1172.8626234543517,honda,Honda Civic,12
29500,34904.0,-5403.5698316573325,volkswagen,Volkswagen Caddy,3
5999,6913.0,-914.0652684347478,kia,Kia Venga,11
11990,13927.0,-1937.087776662942,volkswagen,Volkswagen Golf,10
26790,24122.0,2668.0867577547397,seat,SEAT Leon,3
52490,51952.0,538.1509164585223,mercedes-benz,Mercedes-Benz GLC 300,4
18990,19375.0,-384.94138587269845,volkswagen,Volkswagen Golf,6
13990,14390.0,-399.8378563502047,toyota,Toyota Yaris,7
34300,36812.0,-2512.204696366636,mazda,Mazda CX-5,1
45900,47613.0,-1712.7219698046392,land-rover,Land Rover Discovery,5
12490,13270.0,-779.6998498907979,renault,Renault Kangoo,6
79900,72684.0,7215.631055501348,mercedes-benz,Mercedes-Benz S 560,6
31979,30988.0,991.2903864474501,volkswagen,Volkswagen Caddy,3
27890,27133.0,756.850994957349,volkswagen,Volkswagen Tiguan,6
19990,18687.0,1303.4214178246002,seat,SEAT Arona,4
34670,36362.0,-1691.934896239436,volkswagen,Volkswagen Golf,1
9900,9112.0,788.3448625298115,skoda,Skoda Yeti,14
13980,12200.0,1779.7383998046644,skoda,Skoda Fabia,6
8950,15050.0,-6099.7028747151635,ford,Ford Fiesta,8
49850,53017.0,-3167.014415321588,land-rover,Land Rover Range Rover Velar,5
3650,9346.0,-5695.933436794956,renault,Renault Twingo,15
30462,31568.0,-1105.5929167303839,peugeot,Peugeot 508,2
23889,18937.0,4951.680469539322,opel,Opel Insignia,4
30930,25585.0,5345.151817281523,volkswagen,Volkswagen Tiguan,6
27500,27503.0,-2.821240289376874,opel,Opel Mokka,3
14299,13640.0,658.976671884293,opel,Opel Adam,8
26480,26851.0,-370.917212018172,skoda,Skoda Scala,1
27840,26135.0,1704.9355188353948,volkswagen,Volkswagen Tiguan,7
21600,20058.0,1542.2008617678002,ford,Ford Focus,4
16700,20539.0,-3838.7911688186214,mercedes-benz,Mercedes-Benz C 200,8
33888,19527.0,14360.999216588942,mercedes-benz,Mercedes-Benz Vito,6
20490,21870.0,-1379.7310987509882,skoda,Skoda Superb,7
7000,-6194.0,13193.948363363492,volkswagen,Volkswagen Golf Cabriolet,27
21960,21465.0,494.99051244681687,mini,MINI Cooper Clubman,5
19490,21440.0,-1950.053503282812,hyundai,Hyundai KONA,5
17500,22641.0,-5140.748444862729,bmw,BMW 420,8
20990,20024.0,965.7074916700585,fiat,Fiat Tipo,3
3200,-2527.0,5727.155451298411,ford,Ford Focus,20
21900,22396.0,-496.25329650132335,audi,Audi A5,7
71990,76607.0,-4617.137931128294,dodge,Dodge RAM,2
27900,25057.0,2843.4673182969927,jeep,Jeep Grand Cherokee,6
24990,19788.0,5202.064781217403,ford,Ford Kuga,6
51810,55778.0,-3967.7525163481478,mercedes-benz,Mercedes-Benz CLA 35 AMG,2
18790,22743.0,-3953.451109568341,fiat,Fiat 500,1
15900,12770.0,3130.3059843780266,bmw,BMW 530,14
25900,24248.0,1651.884653185807,mercedes-benz,Mercedes-Benz C 220,8
3480,3569.0,-88.85530775793086,mercedes-benz,Mercedes-Benz B 170,18
5500,2524.0,2976.044683506465,bmw,BMW 116,17
10500,10389.0,110.54483734670612,audi,Audi A5,14
22330,24519.0,-2189.030517279134,volkswagen,Volkswagen Caddy,6
13400,16446.0,-3046.452528295027,mercedes-benz,Mercedes-Benz CLA 200,11
26973,20364.0,6608.741436507826,seat,SEAT Ibiza,4
13900,16380.0,-2479.5785933664374,opel,Opel Corsa,4
23440,22747.0,693.2014097691717,skoda,Skoda Kamiq,1
8590,6452.0,2138.4416588555396,fiat,Fiat 500,8
21990,28620.0,-6630.333249807045,skoda,Skoda Fabia,1
25990,22831.0,3158.850968715593,peugeot,Peugeot Rifter,5
34988,35913.0,-925.2798232189743,seat,SEAT Leon,1
51188,35437.0,15750.723836212317,ford,Ford Transit,3
8999,3586.0,5412.96704184527,volkswagen,Volkswagen T4 Kombi,25
2990,3705.0,-714.7987689338697,bmw,BMW 525,17
122998,98960.0,24038.34108382037,mercedes-benz,Mercedes-Benz GLE 580,1
63250,75158.0,-11908.491585784432,mercedes-benz,Mercedes-Benz G 350,9
22400,21540.0,859.6378293011549,opel,Opel Combo,3
66950,45260.0,21690.15773683651,audi,Audi A6,1
3000,-2113.0,5113.350610130692,opel,Opel Corsa,17
16995,17305.0,-309.7604071193746,volkswagen,Volkswagen Caddy,9
22999,23111.0,-111.72267014601312,renault,Renault Talisman,4
11999,14513.0,-2513.880405003536,skoda,Skoda Fabia,7
27150,29320.0,-2169.8679857654315,kia,Kia XCeed,1
9199,7599.0,1599.8481590927804,ford,Ford B-Max,11
10670,13078.0,-2408.1102990305535,mini,MINI One D,7
339000,185798.0,153202.26465553645,ferrari,Ferrari F8 Tributo,3
6500,7242.0,-741.5202228198905,volkswagen,Volkswagen Cross Touran,17
6599,9957.0,-3357.9610795600147,ford,Ford Focus,10
28980,15160.0,13820.27477153129,seat,SEAT Ateca,3
18990,20290.0,-1299.9283649989338,mercedes-benz,Mercedes-Benz B 220,9
24789,29312.0,-4522.525643519377,volkswagen,Volkswagen Taigo,2
17480,18049.0,-569.0082399872626,hyundai,Hyundai TUCSON,6
12990,18861.0,-5870.890847783448,opel,Opel Corsa,5
