actual,predicted,error,brand,model,age
5999,4296.0,1703.0146484375,ford,Ford Fusion,15
32900,28201.0,4698.78125,volkswagen,Volkswagen Sharan,7
12199,14221.0,-2021.865234375,opel,Opel Combo,6
66270,62124.0,4145.58984375,volkswagen,Volkswagen T6.1 California,1
16990,10576.0,6414.0419921875,volkswagen,Volkswagen T5 Kombi,11
14999,6361.0,8637.61669921875,volkswagen,Volkswagen T4 Multivan,22
8990,10321.0,-1331.076171875,skoda,Skoda Rapid/Spaceback,9
10990,11707.0,-717.1572265625,hyundai,Hyundai i20,7
6400,7764.0,-1363.73486328125,volkswagen,Volkswagen Golf Plus,16
15760,12695.0,3065.1884765625,ford,Ford Kuga,8
18990,21449.0,-2458.712890625,bmw,BMW 120,8
24499,24032.0,466.9765625,fiat,Fiat Fullback,6
128870,178434.0,-49563.640625,dodge,Dodge Challenger,2
35988,33950.0,2038.28125,volkswagen,Volkswagen Touran,2
21280,15859.0,5420.8212890625,audi,Audi TT,10
25999,29354.0,-3355.138671875,volkswagen,Volkswagen Taigo,2
19850,21344.0,-1494.08203125,ford,Ford S-Max,9
32000,27591.0,4409.134765625,mercedes-benz,Mercedes-Benz E 350,8
12450,14035.0,-1584.8544921875,jeep,Jeep Renegade,9
2350,1814.0,536.151123046875,volkswagen,Volkswagen Polo,18
18640,17780.0,859.78515625,hyundai,Hyundai i30,5
8700,9798.0,-1097.947265625,ford,Ford Mondeo,11
15990,16596.0,-606.171875,volkswagen,Volkswagen Golf,10
4300,6101.0,-1801.158203125,mercedes-benz,Mercedes-Benz C 200,21
29200,25901.0,3298.8125,volkswagen,Volkswagen T5 Multivan,11
22500,27010.0,-4509.642578125,skoda,Skoda Octavia,6
14500,29045.0,-14544.685546875,alfa-romeo,Alfa Romeo MiTo,15
23890,23921.0,-31.40234375,jeep,Jeep Renegade,2
15490,11535.0,3954.9169921875,volkswagen,Volkswagen CC,10
3990,3181.0,808.633544921875,ford,Ford Focus,17
19490,19278.0,212.4296875,hyundai,Hyundai i20,1
9990,9714.0,275.544921875,honda,Honda Civic,12
29500,34318.0,-4817.72265625,volkswagen,Volkswagen Caddy,3
5999,12420.0,-6420.623046875,kia,Kia Venga,11
11990,13411.0,-1421.333984375,volkswagen,Volkswagen Golf,10
26790,26969.0,-179.07421875,seat,SEAT Leon,3
